 ,"TITULAR
OIC","SECTOR
OIC",DEPENDENCIA / ENTIDAD,NOMBRE TITULAR,SECTOR,DECRETO DE CREACI‡N,ORGANIGRAMA AUTORIZADO,FECHA,Estatus RI en POE,Fecha de Publicaci¢n POE,ENLACE POE,COMENTARIOS,MANUAL DE REMUNERACIONES,Fecha de Publicaci¢n,ENLACE,
12,,,SECRETAR÷A DE DESARROLLO HUMANO Y BIEN COMÈN,MTRO. IRVING RAFAEL LOERA TALAMANTES,Central,https://www.congresochihuahua2.gob.mx/biblioteca/leyes/archivosLeyes/161.pdf,https://drive.google.com/file/d/1nn_ZfHFA9tkkiAYKmx-rd_VjlFu9rvq2/view,Marzo 2024,PUBLICADO,30-nov-24,https://chihuahua.gob.mx/sites/default/atach2/periodico-oficial/anexos/2024-11/ANEXO%2096-2024%20ACUERDO%20N%C2%BA169-2024.pdf,A£n conserva en la p†gina de transparencia el Reglamento Interior de su anterior denominaci¢n Secretaria de Desarrollo Social,,,,
13,,,SECRETAR÷A DE DESARROLLO RURAL,ING. MAURO PARADA MU•OZ,Central,https://www.congresochihuahua2.gob.mx/biblioteca/leyes/archivosLeyes/161.pdf,https://drive.google.com/file/d/1IyVO0FSKT-bA3yl2bXO9d-2ZmokMZaB4/view,Noviembre 2024,PUBLICADO,17-sept-25,https://chihuahua.gob.mx/sites/default/atach2/periodico-oficial/anexos/2025-09/ANEXO%2074-2025%20ACUERDO%20N%C2%BA%20152-2025%20REGLAMENTO%20INTERIOR%20SECRETAR%C3%8DA%20DESARROLLO%20RURAL.pdf,,,,,
14,,,SECRETAR÷A DE DESARROLLO URBANO Y ECOLOG÷A,ING. GABRIEL MART÷N VALDêZ JUµREZ,Central,https://www.congresochihuahua2.gob.mx/biblioteca/leyes/archivosLeyes/161.pdf,https://drive.google.com/file/d/1zcqronMQlgaPgUOxamUvN6LkuyACby-C/view,Octubre 2023,PUBLICADO,06-oct-99,https://www.congresochihuahua2.gob.mx/biblioteca/reglamentos/archivosReglamentos/102.pdf, Èltima reforma 23 de septiembre de 2000: https://www.congresochihuahua2.gob.mx/biblioteca/reglamentos/archivosReglamentos/213.pdf,,,,
15,,,SECRETAR÷A DE EDUCACI‡N Y DEPORTE,LIC. FRANCISCO HUGO GUTIêRREZ DµVILA,Central,https://www.congresochihuahua2.gob.mx/biblioteca/leyes/archivosLeyes/161.pdf,https://drive.google.com/file/d/1IacBW0tUr9j4V0cOB1E-W7nZX0y4Ykrg/view,Diciembre 2024,PUBLICADO,24-sept-25,https://chihuahua.gob.mx/sites/default/atach2/periodico-oficial/anexos/2025-09/ANEXO%2077-2025%20ACUERDO%20N%C2%BA%20153-2025%20REGLAMENTO%20INTERIOR%20SECRETAR%C3%8DA%20EDUCACI%C3%93N%20Y%20DEPORTE.pdf,,,,,
16,,,SECRETAR÷A DE HACIENDA,LIC. JOSê DE JESÈS GRANILLO VµZQUEZ,Central,https://www.congresochihuahua2.gob.mx/biblioteca/leyes/archivosLeyes/161.pdf,https://drive.google.com/file/d/1DXwsx2xLfrKdq2BqCejPOfAGFDhDlHLM/view,Octubre 2023,PUBLICADO,"10-sep-14

01 mayo 2024 (Reforma)","https://chihuahua.gob.mx/sites/default/atach2/anexo/anexo_73-2014_reg._int._hacienda_corregido_.pdf

https://chihuahua.gob.mx/sites/default/atach2/periodico-oficial/anexos/2024-05/ANEXO%2035-2024%20ACUERDO%20N%C2%B0%20030-2024.pdf  (REFORMA) ","La fecha de publicaci¢n del Reglamento es el 10 de septiembre de 2014

La £ltima Reforma al Reglamento Interior fue el 01/05/2024 publicada en el periodico oficial en relaci¢n a la creaci¢n de departamentos jur°dicos en cada Subsecretar°a",,,,
17,,,SECRETAR÷A DE INNOVACI‡N Y DESARROLLO ECON‡MICO,LIC. ULISES ALEJANDRO FERNµNDEZ GAMBOA,Central,https://www.congresochihuahua2.gob.mx/biblioteca/leyes/archivosLeyes/161.pdf,https://adjuntos.chihuahua.gob.mx/Dependencias/Central/SIDE/ESTRUCTURA%20SIDE.pdf,Agosto 2022,PUBLICADO,10-dic-22,https://chihuahua.gob.mx/sites/default/atach2/periodico-oficial/anexos/2022-12/ANEXO%2099-2022%20ACUERDO%20227-2022%20.pdf,,,,,
18,,,SECRETAR÷A DE LA FUNCI‡N PÈBLICA,LIC. ROBERTO JAVIER FIERRO DUARTE,Central,https://www.congresochihuahua2.gob.mx/biblioteca/leyes/archivosLeyes/161.pdf,https://drive.google.com/file/d/179DymLeGtwzTvVLYxsAI7ShoQgp4XT2C/view,Junio 2024,PUBLICADO,30-dic-20,https://chihuahua.gob.mx/sites/default/atach2/anexo/anexo_105-2020_acuerdo_no_156-2020_reglamento_interior_de_la_secretaria_de_la_funcion_publica.pdf,,,,,
19,,,SECRETAR÷A DE PUEBLOS Y COMUNIDADES IND÷GENAS,LAF. ENRIQUE ALONSO RASC‡N CARRILLO,Central,https://www.congresochihuahua2.gob.mx/biblioteca/leyes/archivosLeyes/161.pdf,https://adjuntos.chihuahua.gob.mx/Dependencias/Central/SPYCI/ESTRUCTURA%20SPYCI.pdf,Junio 2023,PUBLICADO,02-ago-23,https://chihuahua.gob.mx/sites/default/atach2/periodico-oficial/anexos/2023-08/ANEXO%2061-2023%20ACUERDO%20N%C2%BA%20151-2023%20REGLAMENTO%20INTERIOR%20SECRETARI%CC%81A%20DE%20PUEBLOS%20Y%20COMUNIDADES%20INDI%CC%81GENAS%20ESTADO%20CHIHUAHUA.pdf,,,,,
20,,,SECRETAR÷A DE SALUD,LIC. GILBERTO BAEZA MENDOZA,Central,https://www.congresochihuahua2.gob.mx/biblioteca/leyes/archivosLeyes/161.pdf,https://adjuntos.chihuahua.gob.mx/Dependencias/Central/SS/ESTRUCTURA%20SS.pdf,Mayo 2020,PUBLICADO,23-may-20,https://chihuahua.gob.mx/sites/default/atach2/anexo/anexo_42-2020_acuerdo_082-2020.pdf,,,,,
21,,,SECRETAR÷A DE SEGURIDAD PÈBLICA,ING. GILBERTO LOYA CHµVEZ,Central,https://www.congresochihuahua2.gob.mx/biblioteca/leyes/archivosLeyes/161.pdf,https://drive.google.com/file/d/1kQ269CO7IWBADH1cmbRF0JsR7KQSTMEt/view,Marzo 2025,PUBLICADO,25-nov-23,https://chihuahua.gob.mx/sites/default/atach2/periodico-oficial/anexos/2023-11/ANEXO%2094-2023%20ACUERDO%20N%C2%B0%20222-2023%20REGLAMENTO%20INTERIOR.pdf,,,,,
